Algorithm,Accuracy,Precision,Recall,F1_score
KNN,0.9340550230986693,0.9645721458958086,0.8801705485554283,0.9204405550194656
Decision Tree,0.9736744121905813,0.9818169947442301,0.9569810360188367,0.9692399413480285
Random Forest,1.0,1.0,1.0,1.0
Logistic Regression,0.8751154933462042,0.870152217074785,0.8367061219294897,0.8531014793667273
