name,max_depth,accuracy,precision,recall,f1score
DecisionTreeClassifier,1,0.786383088258953,0.7220127421661683,0.8245601009726038,0.7698866590412812
DecisionTreeClassifier,2,0.8564947392129734,0.8300241775954282,0.8411166382062514,0.8355335939228558
DecisionTreeClassifier,3,0.885453199909907,0.8403984884919272,0.9081594773182864,0.872966029117899
DecisionTreeClassifier,4,0.8934650407027254,0.9241690329046267,0.8215903185091692,0.8698659749243406
DecisionTreeClassifier,5,0.9066894044209917,0.9065312716362797,0.8748979137278194,0.8904337312981714
DecisionTreeClassifier,6,0.9217478039833972,0.8927478471283182,0.931323780533076,0.9116279069767442
DecisionTreeClassifier,7,0.9315293284854725,0.9440833268071109,0.8950181899175885,0.9188962573366872
DecisionTreeClassifier,8,0.936259210399305,0.9349538088747539,0.9166976019006607,0.9257357075913777
DecisionTreeClassifier,9,0.9400559863573474,0.9524403555278341,0.9069715643329126,0.9291500285225328
DecisionTreeClassifier,10,0.9432092409665691,0.9502923976608187,0.9169203355854184,0.9333081428301531
DecisionTreeClassifier,11,0.9466842562502011,0.9490571776155717,0.9267206177147524,0.9377559069907216
DecisionTreeClassifier,12,0.9493226937803662,0.9564783543137857,0.9251614819214492,0.9405593086009737
DecisionTreeClassifier,13,0.9505132082756845,0.9568113944406157,0.9276857970153686,0.9420235223160434
DecisionTreeClassifier,14,0.9505775604105666,0.9539678916533516,0.9308783131635607,0.9422816774387494
DecisionTreeClassifier,15,0.9504810322082435,0.957088122605364,0.9273145742074393,0.9419661374863306
DecisionTreeClassifier,16,0.9498696869268638,0.9510034078000758,0.9323632043952781,0.9415910624578241
DecisionTreeClassifier,17,0.9488400527687506,0.9480950584685025,0.9330314054495508,0.9405029187247418
DecisionTreeClassifier,18,0.94912963737572,0.9463132602492866,0.9357042096666419,0.9409788330160151
DecisionTreeClassifier,19,0.9489365809710737,0.9435568164849932,0.9383027693221472,0.9409224584000297
DecisionTreeClassifier,20,0.9476817143408732,0.9395086469234766,0.9397876605538644,0.9396481330265014
DecisionTreeClassifier,21,0.9464268477106728,0.9375092661230541,0.93897097037642,0.9382395489446936
DecisionTreeClassifier,22,0.9471347211943756,0.937093435836783,0.9411983072239959,0.9391413860799348
DecisionTreeClassifier,23,0.9449789246758261,0.9351639404929317,0.9380800356373895,0.9366197183098591
DecisionTreeClassifier,24,0.945783326361852,0.9352193824789481,0.940010394238622,0.93760876809716
DecisionTreeClassifier,25,0.944882396473503,0.9337367178276269,0.939490682307521,0.9366048628844232
DecisionTreeClassifier,26,0.9454937417548828,0.9351119651171385,0.9394164377459351,0.9372592592592593
DecisionTreeClassifier,27,0.9453972135525596,0.9343270365997639,0.9400846388002079,0.9371969949298693
DecisionTreeClassifier,28,0.9454293896200007,0.9343318822400944,0.9401588833617938,0.9372363259566279
DecisionTreeClassifier,29,0.9442388751246823,0.9322333529758398,0.9396391714306928,0.9359216121279349
DecisionTreeClassifier,30,0.9453328614176776,0.9345097460129946,0.9397134159922785,0.9371043571613668
