name,degree,alpha,l1_ratio,max_iter,R2,MSE,RMSE,MAE,MAPE
ElasticNet,1,0.1,0.1,1000,0.025558878616492198,465.30695062854903,21.570974725972608,17.12104433682559,8.677025565926726
ElasticNet,1,0.1,0.1,1500,0.025558878616492198,465.30695062854903,21.570974725972608,17.12104433682559,8.677025565926726
ElasticNet,1,0.1,0.1,2000,0.025558878616492198,465.30695062854903,21.570974725972608,17.12104433682559,8.677025565926726
ElasticNet,1,0.1,0.2,1000,0.02609586657616647,465.0505326423237,21.56503031860432,17.116585730658777,8.67674358805753
ElasticNet,1,0.1,0.2,1500,0.02609586657616647,465.0505326423237,21.56503031860432,17.116585730658777,8.67674358805753
ElasticNet,1,0.1,0.2,2000,0.02609586657616647,465.0505326423237,21.56503031860432,17.116585730658777,8.67674358805753
ElasticNet,1,0.1,0.30000000000000004,1000,0.026716900916164077,464.75398153355104,21.55815348153805,17.111433792979817,8.6764371784586
ElasticNet,1,0.1,0.30000000000000004,1500,0.026716900916164077,464.75398153355104,21.55815348153805,17.111433792979817,8.6764371784586
ElasticNet,1,0.1,0.30000000000000004,2000,0.026716900916164077,464.75398153355104,21.55815348153805,17.111433792979817,8.6764371784586
ElasticNet,1,0.1,0.4,1000,0.027474018815074608,464.3924489452012,21.5497667956106,17.105458924598988,8.676584827764701
ElasticNet,1,0.1,0.4,1500,0.027474018815074608,464.3924489452012,21.5497667956106,17.105458924598988,8.676584827764701
ElasticNet,1,0.1,0.4,2000,0.027474018815074608,464.3924489452012,21.5497667956106,17.105458924598988,8.676584827764701
ElasticNet,1,0.1,0.5,1000,0.028384589234635604,463.9576409963567,21.539675972408606,17.098323180943396,8.676790690797697
ElasticNet,1,0.1,0.5,1500,0.028384589234635604,463.9576409963567,21.539675972408606,17.098323180943396,8.676790690797697
ElasticNet,1,0.1,0.5,2000,0.028384589234635604,463.9576409963567,21.539675972408606,17.098323180943396,8.676790690797697
ElasticNet,1,0.1,0.6,1000,0.029483001943329312,463.43313617323486,21.52749721108413,17.090037686401857,8.677106779574144
ElasticNet,1,0.1,0.6,1500,0.029483001943329312,463.43313617323486,21.52749721108413,17.090037686401857,8.677106779574144
ElasticNet,1,0.1,0.6,2000,0.029483001943329312,463.43313617323486,21.52749721108413,17.090037686401857,8.677106779574144
ElasticNet,1,0.1,0.7000000000000001,1000,0.030832938281024624,462.7885258965833,21.512520212578146,17.079870281224412,8.67767325474178
ElasticNet,1,0.1,0.7000000000000001,1500,0.030832938281024624,462.7885258965833,21.512520212578146,17.079870281224412,8.67767325474178
ElasticNet,1,0.1,0.7000000000000001,2000,0.030832938281024624,462.7885258965833,21.512520212578146,17.079870281224412,8.67767325474178
ElasticNet,1,0.1,0.8,1000,0.03252521469961722,461.98044425606514,21.49373034761684,17.067602355368944,8.678849614026769
ElasticNet,1,0.1,0.8,1500,0.03252521469961722,461.98044425606514,21.49373034761684,17.067602355368944,8.678849614026769
ElasticNet,1,0.1,0.8,2000,0.03252521469961722,461.98044425606514,21.49373034761684,17.067602355368944,8.678849614026769
ElasticNet,1,0.1,0.9,1000,0.03466574247150922,460.9583173892713,21.469939855278387,17.0555773427063,8.681112094712281
ElasticNet,1,0.1,0.9,1500,0.03466574247150922,460.9583173892713,21.469939855278387,17.0555773427063,8.681112094712281
ElasticNet,1,0.1,0.9,2000,0.03466574247150922,460.9583173892713,21.469939855278387,17.0555773427063,8.681112094712281
ElasticNet,1,0.1,1.0,1000,0.037195327225104546,459.7504112960014,21.441791233383498,17.047447666076568,8.686903183048353
ElasticNet,1,0.1,1.0,1500,0.037195327225104546,459.7504112960014,21.441791233383498,17.047447666076568,8.686903183048353
ElasticNet,1,0.1,1.0,2000,0.037195327225104546,459.7504112960014,21.441791233383498,17.047447666076568,8.686903183048353
ElasticNet,1,0.2,0.1,1000,0.019962517820877657,467.9792778931531,21.63282870761827,17.165139085225192,8.681947485336229
ElasticNet,1,0.2,0.1,1500,0.019962517820877657,467.9792778931531,21.63282870761827,17.165139085225192,8.681947485336229
ElasticNet,1,0.2,0.1,2000,0.019962517820877657,467.9792778931531,21.63282870761827,17.165139085225192,8.681947485336229
ElasticNet,1,0.2,0.2,1000,0.020149411468951328,467.890034005997,21.63076591353152,17.162886086093224,8.682354579800162
ElasticNet,1,0.2,0.2,1500,0.020149411468951328,467.890034005997,21.63076591353152,17.162886086093224,8.682354579800162
ElasticNet,1,0.2,0.2,2000,0.020149411468951328,467.890034005997,21.63076591353152,17.162886086093224,8.682354579800162
ElasticNet,1,0.2,0.30000000000000004,1000,0.020407381558072757,467.7668502929041,21.62791830696852,17.16022389626318,8.683200107109473
ElasticNet,1,0.2,0.30000000000000004,1500,0.020407381558072757,467.7668502929041,21.62791830696852,17.16022389626318,8.683200107109473
ElasticNet,1,0.2,0.30000000000000004,2000,0.020407381558072757,467.7668502929041,21.62791830696852,17.16022389626318,8.683200107109473
ElasticNet,1,0.2,0.4,1000,0.02071858269714888,467.6182481353411,21.62448260965661,17.157148473002444,8.68408142642059
ElasticNet,1,0.2,0.4,1500,0.02071858269714888,467.6182481353411,21.62448260965661,17.157148473002444,8.68408142642059
ElasticNet,1,0.2,0.4,2000,0.02071858269714888,467.6182481353411,21.62448260965661,17.157148473002444,8.68408142642059
ElasticNet,1,0.2,0.5,1000,0.021103753479594145,467.43432461413715,21.620229522697883,17.153466370058407,8.684987692689914
ElasticNet,1,0.2,0.5,1500,0.021103753479594145,467.43432461413715,21.620229522697883,17.153466370058407,8.684987692689914
