name,n_estimators,max_depth,R2,MSE,RMSE,MAE,MAPE
RandomForestRegressor,150,25,0.3362193514240652,316.9629674870329,17.803453807815856,13.019438232679395,7.0591019512415665
RandomForestRegressor,150,30,0.334923873757758,317.581573115725,17.820818531025026,12.991892637164886,7.075992197860872
RandomForestRegressor,150,35,0.3373294286606039,316.43289271641714,17.788560726388663,12.97198988172076,7.059202150328566
RandomForestRegressor,150,40,0.3373538579428267,316.42122745048397,17.788232836639057,12.99163690158302,7.0049886744862055
RandomForestRegressor,150,45,0.33329478922930933,318.3594798949179,17.842630968971978,13.011600913505358,7.092257717171601
RandomForestRegressor,150,50,0.3347056056842004,317.6857986553681,17.823742554676,12.99622038186567,7.045802820226949
RandomForestRegressor,150,55,0.3340286807506805,318.00903817154676,17.832807916072746,13.003017740567671,7.045885512463121
RandomForestRegressor,160,25,0.33872908532568347,315.76454040608934,17.76976478195728,12.955451511165348,7.035620687974941
RandomForestRegressor,160,30,0.33843052601342094,315.9071059445524,17.77377579313277,12.975568083528321,6.972932661121805
RandomForestRegressor,160,35,0.3327239119517448,318.6320804239571,17.85026835719724,12.985172539094375,7.101642810724841
RandomForestRegressor,160,40,0.3339530868346595,318.04513514424,17.833819981827787,12.997949609162095,7.06812568305784
RandomForestRegressor,160,45,0.3369147855444454,316.6308896192007,17.794125143406198,12.957568645741516,7.075194228915627
RandomForestRegressor,160,50,0.3373522870085506,316.4219775898424,17.78825392189583,12.97140620504316,7.089216504396061
RandomForestRegressor,160,55,0.3342415745296885,317.90737891995707,17.82995734487206,13.010684480262649,7.109122060766641
RandomForestRegressor,170,25,0.3354438848625182,317.33326177485566,17.813850279343196,13.025758816814179,7.00424475295163
RandomForestRegressor,170,30,0.33564598105804466,317.2367584947595,17.811141414708928,12.98503781460724,7.065726702895824
RandomForestRegressor,170,35,0.33682304844029076,316.67469515168176,17.79535599957702,12.97215552499622,7.07091336984711
RandomForestRegressor,170,40,0.3385726036047437,315.839262244897,17.771867156967414,12.966710244283462,7.066616214288183
RandomForestRegressor,170,45,0.33634019746185906,316.9052621007275,17.801833110686314,13.014278408342518,7.007182912541907
RandomForestRegressor,170,50,0.33994963890066265,315.18171190102174,17.753357764125123,12.937289908580173,7.0765212746277175
RandomForestRegressor,170,55,0.3399553559326415,315.1789819518659,17.753280878526816,12.967716583627226,7.05520182451369
RandomForestRegressor,180,25,0.3368241201059894,316.67418341886656,17.795341621302654,12.98131560460549,7.079993015345352
RandomForestRegressor,180,30,0.3383303083788507,315.9549610287825,17.775121969448833,12.944939816810727,7.052565691372998
RandomForestRegressor,180,35,0.3378617568064798,316.1786998453901,17.78141445007652,12.989090950041712,7.001740640990831
RandomForestRegressor,180,40,0.3366427127417061,316.76080754180623,17.79777535372908,12.98280801654633,7.02620017678514
RandomForestRegressor,180,45,0.3348905980468818,317.59746265406443,17.8212643393802,13.000673357831324,7.025900557055018
RandomForestRegressor,180,50,0.33537992875770606,317.36380155755893,17.814707450799155,12.979793750869897,7.04702969747162
RandomForestRegressor,180,55,0.334353105854874,317.8541214170841,17.828463798574575,13.011860932337957,7.035224534504979
RandomForestRegressor,190,25,0.33672619561800177,316.7209434989755,17.79665540204045,12.998208568841399,7.041401029277844
RandomForestRegressor,190,30,0.3352721233885635,317.4152798731558,17.81615221851104,13.003152948679269,7.081609518924584
RandomForestRegressor,190,35,0.3369726956934588,316.60323685059666,17.793348106823423,12.987033053204422,7.040642507231711
RandomForestRegressor,190,40,0.33553172879718296,317.2913152760133,17.812672884101737,13.014154197534344,7.0506808194532
RandomForestRegressor,190,45,0.3377218648367736,316.2454998853443,17.783292717754616,12.983475294784029,7.01234783381507
RandomForestRegressor,190,50,0.33745305157889005,316.37386133743155,17.78690139786668,12.990774969592819,7.036866987621543
RandomForestRegressor,190,55,0.33608002168740103,317.029499054181,17.805322211467587,13.01147769383513,7.02507233992808
RandomForestRegressor,200,25,0.33671558957786785,316.7260080062963,17.796797689649008,13.00525448660259,6.992273178095695
RandomForestRegressor,200,30,0.3403201438540243,315.0047914835041,17.748374333541204,12.9566807394336,7.07836160358128
RandomForestRegressor,200,35,0.33604961229419195,317.0440198925508,17.805729973594197,12.972008783642789,7.036843106702276
RandomForestRegressor,200,40,0.33792265226720086,316.14962155578036,17.78059677164353,12.977732946196202,7.051817565529484
RandomForestRegressor,200,45,0.3384656243204519,315.89034609538515,17.773304309986514,12.954084081933143,7.068064499834669
RandomForestRegressor,200,50,0.3388443379760382,315.70950592723614,17.76821617178371,12.976134692636617,7.0348140284401195
RandomForestRegressor,200,55,0.33815636999400567,316.03801862731103,17.777458159908885,12.97266475773261,7.006259532440899
RandomForestRegressor,210,25,0.33605497526790673,317.0414590103274,17.805658061704076,13.0236868675288,7.040152017572366
RandomForestRegressor,210,30,0.33708425858191016,316.5499642758977,17.791851063784726,12.964834244474922,7.035811698664582
RandomForestRegressor,210,35,0.33561479292590923,317.25165119000945,17.81155948225785,12.994034567766514,7.066596664571035
RandomForestRegressor,210,40,0.3364319366128843,316.8614555908419,17.80060267493328,12.99396322404869,7.028291312145049
